# User tags exported from dc-master-1-55115ec7-eos.topo.testdrive-dev.arista.com
# CVP version 2024.1.0
# Date generated: 2023-09-27 15:02:13.050324
Role, Edge-Router, s1-core2
Role, Spine, s2-spine2
Role, Spine, s1-spine2
Switch-Group, DC2-Spines, s2-spine1
Switch-Group, DC2-Spines, s2-spine2
router_bgp.as, 65100, s2-spine1
router_bgp.as, 65100, s2-spine2
router_bgp.router_id, 172.16.10.1, s2-spine1
Edge-Router-Domain, DCI-GWs, s2-spine1
Edge-Router-Domain, DCI-GWs, s1-spine2
Edge-Router-Domain, DCI-GWs, s2-spine2
Edge-Router-Domain, DCI-GWs, s1-spine1
router_bgp.router_id, 172.16.2.7, s1-brdr1
router_bgp.as, 65004, s1-brdr1
router_bgp.as, 65004, s1-brdr2
NodeId, 3, s2-leaf1
NodeId, 3, s1-leaf1
VtepIp, 172.16.11.1, s2-leaf1
VtepIp, 172.16.11.1, s2-leaf2
Switch-Group, DC2-Leaf-Switches, s2-leaf1
Switch-Group, DC2-Leaf-Switches, s2-leaf2
Switch-Group, DC2-Leaf-Switches, s2-leaf3
Switch-Group, DC2-Leaf-Switches, s2-leaf4
Leaf-Domain, 1, s2-leaf1
Leaf-Domain, 1, s2-leaf2
Leaf-Domain, 1, s1-leaf1
Leaf-Domain, 1, s1-leaf2
router_bgp.as, 65101, s2-leaf1
router_bgp.as, 65101, s2-leaf2
router_bgp.router_id, 172.16.12.3, s2-leaf1
NodeId, 4, s2-leaf2
NodeId, 4, s1-leaf2
router_bgp.router_id, 172.16.12.4, s2-leaf2
router_bgp.router_id, 172.16.12.7, s2-brdr1
router_bgp.as, 65104, s2-brdr1
router_bgp.as, 65104, s2-brdr2
router_bgp.router_id, 172.16.12.8, s2-brdr2
DC, DC1-Hosts, s1-host2
DC, DC1-Hosts, s1-host1
DC, DC2-Hosts, s2-host1
DC, DC2-Hosts, s2-host2
router_bgp.router_id, 3.3.3.3, s2-core1
VtepIp, 172.16.1.1, s1-leaf2
VtepIp, 172.16.1.1, s1-leaf1
router_bgp.as, 65001, s1-leaf1
router_bgp.as, 65001, s1-leaf2
Switch-Group, DC2-Hosts, s2-host1
Switch-Group, DC2-Hosts, s2-host2
router_bgp.router_id, 172.16.2.3, s1-leaf1
NodeId, 5, s1-leaf3
NodeId, 5, s2-leaf3
VtepIp, 172.16.11.2, s2-leaf3
VtepIp, 172.16.11.2, s2-leaf4
Switch-Group, DC1-Hosts, s1-host1
Switch-Group, DC1-Hosts, s1-host2
router_bgp.router_id, 172.16.2.5, s1-leaf3
router_bgp.router_id, 172.16.2.8, s1-brdr2
NodeId, 2, s1-spine2
NodeId, 2, s2-spine2
router_bgp.router_id, 1.1.1.1, s1-core1
router_bgp.router_id, 172.16.12.5, s2-leaf3
router_bgp.as, 65102, s2-leaf3
router_bgp.as, 65102, s2-leaf4
router_bgp.router_id, 4.4.4.4, s2-core2
Switch-Group, DC1-Spines, s1-spine2
Switch-Group, DC1-Spines, s1-spine1
router_bgp.router_id, 172.16.2.4, s1-leaf2
router_bgp.as, 65000, s1-spine2
router_bgp.as, 65000, s1-spine1
router_bgp.router_id, 172.16.0.2, s1-spine2
router_bgp.router_id, 172.16.0.1, s1-spine1
router_bgp.router_id, 172.16.10.2, s2-spine2
router_bgp.router_id, 172.16.12.6, s2-leaf4
