ElementType,Label,Value,DeviceIdOrHostname,InterfaceName
DEVICE,Role,Core
DEVICE,Role,RR
DEVICE,Campus,Ex7-L2DC-eos11-eos12-eos13,59713B4DD921228883414E230589C755
DEVICE,Campus,Ex7-L2DC-eos11-eos12-eos13,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,Campus,Ex7-L2DC-eos11-eos12-eos13,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,Edge-Router-Domain,Campus2-5
DEVICE,Edge-Router-Domain,1
DEVICE,Edge-Router-Domain,2,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Edge-Router-Domain,eos1-eos6,5F25F4C27186651AB03E3940D74881AA
DEVICE,Edge-Router-Domain,eos1-eos6,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Edge-Router-Domain,9,2D9250F762B67C38FACAC7A27853401A
DEVICE,Edge-Router-Domain,4
DEVICE,Edge-Router-Domain,7
DEVICE,Edge-Router-Domain,Campus11-13
DEVICE,Edge-Router-Domain,18
DEVICE,Edge-Router-Domain,20
DEVICE,Edge-Router-Domain,5,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Edge-Router-Domain,11-13,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,Edge-Router-Domain,11-13,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,Edge-Router-Domain,6
DEVICE,Network,Ex4-CoreNet-eos1-eos2-eos5
DEVICE,Network,Ex7-L2DC-eos11-eos13,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,Network,Ex7-L2DC-eos11-eos13,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,Network,Ex3-CoreNet-eos1-eos2-eos5-eos11-eos13
DEVICE,Network,DC-Border-Leaf-eos6
DEVICE,Network,Ex2-CoreNet-eos1-eos2-eos5-eos11-eos13-eos17
DEVICE,Network,DC-Border-Leaf-eos4
DEVICE,Network,Ex2-ISP-eos7-eos10-eos19
DEVICE,Network,Ex7-CoreNet-eos1-eos6,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Network,Ex7-CoreNet-eos1-eos6,5F25F4C27186651AB03E3940D74881AA
DEVICE,Network,Ex3-ISP-eos7-eos10-eos19
DEVICE,Network,f
DEVICE,NetworkServices,L3,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,NetworkServices,L3,433AD80F311A46CE26C34012C05E9714
DEVICE,NetworkServices,L3,54814A3FC3EDD8610AF41015CF093055
DEVICE,NetworkServices,L3,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,NetworkServices,L3,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,NetworkServices,L3,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,NetworkServices,L3,5B43A61E50CD1D472755A286BC30A92D
DEVICE,NetworkServices,L3,2D9250F762B67C38FACAC7A27853401A
DEVICE,NetworkServices,L3,5F25F4C27186651AB03E3940D74881AA
DEVICE,NetworkServices,L2,5B43A61E50CD1D472755A286BC30A92D
DEVICE,NetworkServices,L2,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,NetworkServices,L2,2D9250F762B67C38FACAC7A27853401A
DEVICE,NetworkServices,L2,5F25F4C27186651AB03E3940D74881AA
DEVICE,NetworkServices,L2,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,NetworkServices,L2,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,NetworkServices,L2,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,DC,Ex7-L3DC-eos2-eos3-eos4-eos5-eos9,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,DC,Ex7-L3DC-eos2-eos3-eos4-eos5-eos9,2D9250F762B67C38FACAC7A27853401A
DEVICE,DC,Ex7-L3DC-eos2-eos3-eos4-eos5-eos9,5B43A61E50CD1D472755A286BC30A92D
DEVICE,DC,Ex7-L3DC-eos2-eos3-eos4-eos5-eos9,433AD80F311A46CE26C34012C05E9714
DEVICE,DC,Ex7-L3DC-eos2-eos3-eos4-eos5-eos9,54814A3FC3EDD8610AF41015CF093055
DEVICE,DC,Ex4-DC-eos6-eos8-eos14
DEVICE,DC,Ex4-DC-eos3-eos4-eos9
DEVICE,router_bgp.as,65001,5B43A61E50CD1D472755A286BC30A92D
DEVICE,router_bgp.as,65001,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,router_bgp.as,65002
DEVICE,router_bgp.as,65014
DEVICE,router_bgp.as,8
DEVICE,router_bgp.as,65009,2D9250F762B67C38FACAC7A27853401A
DEVICE,router_bgp.as,65010
DEVICE,router_bgp.as,65000,433AD80F311A46CE26C34012C05E9714
DEVICE,router_bgp.as,65000,54814A3FC3EDD8610AF41015CF093055
DEVICE,router_bgp.as,15,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,router_bgp.as,15,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,router_bgp.as,7,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,router_bgp.as,7,5F25F4C27186651AB03E3940D74881AA
DEVICE,router_bgp.as,65013
DEVICE,DC-Pod,2
DEVICE,DC-Pod,1,5B43A61E50CD1D472755A286BC30A92D
DEVICE,DC-Pod,1,433AD80F311A46CE26C34012C05E9714
DEVICE,DC-Pod,1,54814A3FC3EDD8610AF41015CF093055
DEVICE,DC-Pod,1,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,DC-Pod,1,2D9250F762B67C38FACAC7A27853401A
DEVICE,NodeId,1,433AD80F311A46CE26C34012C05E9714
DEVICE,NodeId,3,5B43A61E50CD1D472755A286BC30A92D
DEVICE,NodeId,2,54814A3FC3EDD8610AF41015CF093055
DEVICE,NodeId,4,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,NodeId,5,2D9250F762B67C38FACAC7A27853401A
DEVICE,Leaf-Domain,1
DEVICE,Leaf-Domain,3
DEVICE,Leaf-Domain,5,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Leaf-Domain,9,2D9250F762B67C38FACAC7A27853401A
DEVICE,Leaf-Domain,4
DEVICE,Leaf-Domain,2,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Vtep,True,2D9250F762B67C38FACAC7A27853401A
DEVICE,Vtep,True,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,Vtep,True,5F25F4C27186651AB03E3940D74881AA
DEVICE,Vtep,True,FCCC195BEABB1B6C09A1B342CA831A2B
DEVICE,Vtep,True,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,Vtep,True,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Vtep,True,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,Leaf-Number,3,2D9250F762B67C38FACAC7A27853401A
DEVICE,Leaf-Number,1,5B43A61E50CD1D472755A286BC30A92D
DEVICE,Leaf-Number,2,5BC2F4EE4D0BCD68EBF7DE5C034C8F7E
DEVICE,mlag_configuration.peer_link,Port-Channel2000
DEVICE,Switch-Group,Campus-End-Devices
DEVICE,Switch-Group,DC2_Edge_Devices
DEVICE,Switch-Group,L3DC_End_Devices,2D9250F762B67C38FACAC7A27853401A
DEVICE,Switch-Group,Switch8_Edge_Ports
DEVICE,Switch-Group,Switch3_and_4_Edge_Ports
DEVICE,Switch-Group,Switch4_Edge_Ports
DEVICE,Switch-Group,L2DC,C9B670892B53FDC31CEC1BDAD2668E92
DEVICE,Switch-Group,L2DC,F2168EA8F1CE6812EC0BE6937CAE8A9C
DEVICE,Switch-Group,L2DC,59713B4DD921228883414E230589C755
DEVICE,Switch-Group,Switch3_Edge_Ports
DEVICE,Switch-Group,DC1_End_Devices
DEVICE,Spine-Number,1,433AD80F311A46CE26C34012C05E9714
DEVICE,Spine-Number,2,54814A3FC3EDD8610AF41015CF093055
DEVICE,Campus-Pod,L2DC-eos12,59713B4DD921228883414E230589C755
DEVICE,Campus-Pod,3
DEVICE,Campus-Pod,4
DEVICE,Campus-Pod,12
