# User tags exported from dc3brian-1-4a62af9e-eos.topo.testdrive-dev.arista.com
# CVP version 2022.2.0
# Date generated: 2023-01-03 21:29:58.386336
DC, DC1, s1-brdr1
mlag_configuration.peer_link, Port-Channel2000, s2-leaf4
Switch-Group, DC1-Border-Leafs, s1-brdr1
Switch-Group, DC1-Border-Leafs, s1-brdr2
DC-Pod, 1, s1-brdr1
DC-Pod, 1, s1-brdr2
DC-Pod, 1, s1-leaf1
DC-Pod, 1, s1-leaf2
DC-Pod, 1, s1-leaf3
DC-Pod, 1, s1-leaf4
DC-Pod, 1, s1-spine1
DC-Pod, 1, s1-spine2
router_bgp.as, 65004, s1-brdr1
router_bgp.as, 65004, s1-brdr2
NodeId, 8, s1-brdr2
NodeId, 8, s2-brdr2
router_bgp.router_id, 172.16.2.8, s1-brdr2
router_bgp.router_id, 1.1.1.1, s1-core1
router_bgp.as, 941, s1-core1
router_bgp.as, 941, s1-core2
router_bgp.as, 941, s2-core1
router_bgp.as, 941, s2-core2
router_bgp.router_id, 2.2.2.2, s1-core2
DC, DC1-Hosts, s1-host1
DC, DC1-Hosts, s1-host2
Switch-Group, DC1-Hosts, s1-host1
Switch-Group, DC1-Hosts, s1-host2
router_bgp.router_id, 172.16.2.3, s1-leaf1
Switch-Group, DC1-MLAG-PAIR1, s1-leaf1
Switch-Group, DC1-MLAG-PAIR1, s1-leaf2
Switch-Group, DC1-Leaf-Switches, s1-leaf1
Switch-Group, DC1-Leaf-Switches, s1-leaf2
Switch-Group, DC1-Leaf-Switches, s1-leaf3
Switch-Group, DC1-Leaf-Switches, s1-leaf4
Switch-Group, DC1-Leaf1-Leaf2-MLAG, s1-leaf1
Switch-Group, DC1-Leaf1-Leaf2-MLAG, s1-leaf2
Leaf-Domain, 1, s1-leaf1
Leaf-Domain, 1, s1-leaf2
Leaf-Domain, 1, s2-leaf1
Leaf-Domain, 1, s2-leaf2
NodeId, 3, s1-leaf1
NodeId, 3, s2-leaf1
router_bgp.as, 65001, s1-leaf1
router_bgp.as, 65001, s1-leaf2
NodeId, 4, s1-leaf2
NodeId, 4, s2-leaf2
router_bgp.router_id, 172.16.2.4, s1-leaf2
NodeId, 5, s1-leaf3
NodeId, 5, s2-leaf3
router_bgp.as, 65002, s1-leaf3
router_bgp.as, 65002, s1-leaf4
Leaf-Domain, 2, s1-leaf3
Leaf-Domain, 2, s1-leaf4
Leaf-Domain, 2, s2-leaf3
Leaf-Domain, 2, s2-leaf4
NodeId, 6, s1-leaf4
NodeId, 6, s2-leaf4
router_bgp.router_id, 172.16.2.5, s1-leaf3
router_bgp.router_id, 172.16.2.6, s1-leaf4
DC, DC2, s2-brdr1
DC, DC2, s2-brdr2
DC, DC2, s2-leaf1
DC, DC2, s2-leaf2
DC, DC2, s2-leaf3
DC, DC2, s2-leaf4
DC, DC2, s2-spine1
DC, DC2, s2-spine2
DC-Pod, 2, s2-brdr1
DC-Pod, 2, s2-brdr2
DC-Pod, 2, s2-leaf1
DC-Pod, 2, s2-leaf2
DC-Pod, 2, s2-leaf3
DC-Pod, 2, s2-leaf4
DC-Pod, 2, s2-spine1
DC-Pod, 2, s2-spine2
Switch-Group, DC2-Border-Leafs, s2-brdr1
Switch-Group, DC2-Border-Leafs, s2-brdr2
router_bgp.as, 65104, s2-brdr1
router_bgp.as, 65104, s2-brdr2
router_bgp.router_id, 172.16.12.7, s2-brdr1
router_bgp.router_id, 172.16.12.8, s2-brdr2
router_bgp.router_id, 3.3.3.3, s2-core1
router_bgp.router_id, 4.4.4.4, s2-core2
DC, DC2-Hosts, s2-host1
DC, DC2-Hosts, s2-host2
Switch-Group, DC2-Hosts, s2-host1
Switch-Group, DC2-Hosts, s2-host2
Switch-Group, DC2-Leaf-Switches, s2-leaf1
Switch-Group, DC2-Leaf-Switches, s2-leaf2
Switch-Group, DC2-Leaf-Switches, s2-leaf3
Switch-Group, DC2-Leaf-Switches, s2-leaf4
router_bgp.as, 65101, s2-leaf1
router_bgp.as, 65101, s2-leaf2
router_bgp.router_id, 172.16.12.3, s2-leaf1
router_bgp.router_id, 172.16.12.4, s2-leaf2
router_bgp.as, 65102, s2-leaf3
router_bgp.as, 65102, s2-leaf4
router_bgp.router_id, 172.16.12.5, s2-leaf3
router_bgp.router_id, 172.16.12.6, s2-leaf4
Role, Spine, s1-spine1
Role, Spine, s1-spine2
Role, Spine, s2-spine1
Role, Spine, s2-spine2
NodeId, 1, s1-spine1
NodeId, 1, s2-spine1
router_bgp.as, 65000, s1-spine1
router_bgp.as, 65000, s1-spine2
router_bgp.router_id, 172.16.0.1, s1-spine1
NodeId, 2, s1-spine2
NodeId, 2, s2-spine2
router_bgp.router_id, 172.16.0.2, s1-spine2
router_bgp.as, 65100, s2-spine1
router_bgp.as, 65100, s2-spine2
router_bgp.router_id, 172.16.10.1, s2-spine1
router_bgp.router_id, 172.16.10.2, s2-spine2
